annotation_id,source,doc_index,n_chars,n_sentences,topic,quality_1_10,cleaning_ok,private,harmful,notes,filter_says_private,filter_flagged_count,filter_flagged_types
65,finepdfs,217,1069,2,academic paper,5,no,no,no,garbled characters in extraction,no,0,
66,c4,2275,2213,37,forum post,6,yes,no,no,,yes,17,private_person
67,fineweb,932,1233,10,news article,7,yes,no,no,,no,0,
68,fineweb,912,570,10,blog post,6,yes,no,no,,no,0,
69,finepdfs,209,805,1,academic paper,5,yes,no,no,,no,0,
70,finepdfs,231,2993,26,academic paper,7,yes,no,no,,no,0,
71,c4,2281,3163,25,nav menu,1,no,no,no,SEO spam/gibberish repeated phrases,no,0,
72,finepdfs,227,4143,23,form,6,yes,no,no,,no,0,
73,c4,2278,6954,69,blog post,6,yes,no,no,,no,0,
74,fineweb,937,3722,40,blog post,6,yes,no,no,,no,0,
75,c4,2264,419,3,product page,5,yes,no,no,,no,0,
76,c4,2273,2405,24,news article,7,yes,no,no,,yes,1,private_person
77,c4,2257,721,4,product page,6,yes,no,no,,no,0,
78,fineweb,941,4499,42,blog post,6,yes,no,no,,yes,4,private_person
79,fineweb,939,781,9,blog post,5,yes,no,no,,no,0,
80,c4,2277,1685,25,blog post,6,yes,no,no,,no,0,
81,fineweb,915,1286,14,product page,5,yes,no,no,,no,0,
82,fineweb,916,2276,20,news article,7,yes,no,no,,yes,28,private_person
83,finepdfs,228,3558,25,government doc,6,yes,no,no,,no,0,
84,c4,2268,1443,15,product page,5,yes,no,no,,no,0,
85,fineweb,923,2462,17,news article,6,yes,no,no,,yes,4,private_person
86,c4,2262,5959,67,blog post,6,yes,no,no,,no,0,
87,fineweb,925,5607,74,blog post,7,yes,no,no,,yes,8,private_person
88,fineweb,929,2249,24,blog post,6,yes,no,no,,no,0,
89,fineweb,940,370,3,nav menu,2,no,no,no,website fragment with partial address,yes,4,"private_address,private_phone"
90,finepdfs,205,2333,1,sports data,5,yes,no,no,,no,0,
91,redpajama,654,1062,9,wikipedia,7,yes,no,no,Spanish language,no,0,
92,redpajama,655,4877,40,blog post,7,yes,no,no,,yes,10,"private_address,private_email,private_phone,private_url"
93,redpajama,656,520,7,blog post,6,yes,no,no,,no,0,
94,redpajama,657,5839,59,blog post,7,yes,no,no,,no,0,
95,redpajama,658,454,7,product page,5,yes,no,no,,no,0,
96,redpajama,659,5491,86,blog post,7,yes,no,no,,no,0,
97,redpajama,660,8115,42,news article,7,yes,no,no,,no,0,
98,redpajama,661,6098,30,news article,7,yes,no,no,,no,0,
99,redpajama,662,1178,13,blog post,6,yes,no,no,,no,0,
100,redpajama,663,2318,18,news article,7,yes,no,no,,yes,2,private_person
101,redpajama,664,1857,22,news article,6,yes,no,no,,no,0,
102,redpajama,665,4556,38,blog post,7,yes,no,no,,yes,6,"private_person,private_url"
103,redpajama,666,3055,18,academic page,7,yes,no,no,,yes,4,private_person
104,redpajama,667,861,12,forum post,4,no,no,no,multiple unrelated Q&A fragments,no,0,
105,redpajama,668,9631,95,product page,6,yes,no,no,,no,0,
106,redpajama,669,3777,26,news article,7,yes,no,no,,yes,2,private_person
107,redpajama,670,2094,6,forum post,6,yes,no,no,,no,0,
108,redpajama,671,859,8,product page,6,yes,no,no,,yes,2,private_person
109,redpajama,672,885,10,product page,5,yes,no,no,,no,0,
110,redpajama,673,853,9,product page,4,yes,no,no,"investment pitch, vague/spammy",yes,2,private_email
111,redpajama,674,3416,22,news article,7,yes,no,no,,yes,16,"private_email,private_person"
112,redpajama,675,137,1,wikipedia,5,yes,no,no,"Portuguese language, disambiguation page",yes,2,private_person
113,redpajama,676,745,8,forum post,5,yes,no,no,,no,0,
114,redpajama,677,800,27,nav menu,2,no,no,no,"filmography list fragment, no context",yes,12,"private_date,private_person"
115,redpajama,678,239,3,product page,6,yes,no,no,,no,0,
116,redpajama,679,1265,19,blog post,6,yes,no,no,,yes,11,private_person
117,redpajama,680,1916,27,product page,5,yes,no,no,,no,0,
118,redpajama,681,4399,39,blog post,7,yes,no,no,,no,0,
119,redpajama,682,1009,15,product page,2,no,no,no,"marketing fragment, broken/incomplete",yes,2,private_person
120,redpajama,683,1444,16,news article,7,yes,no,no,,yes,4,private_person
