model_id,prop_id,comparison,gold_answer,qid,pair_id,direction,temperature,top_p,max_new_tokens,n,yes_count,no_count,unknown_count,refused_count,p_yes,p_no,p_unknown,p_refused,p_correct,majority_label
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,NO,f9f5ba8c801a093cc6e0d1796ff5f550c4e67af7d481088d8dc9494697bf71d1_rev,f9f5ba8c801a093cc6e0d1796ff5f550c4e67af7d481088d8dc9494697bf71d1,rev,0.7,0.9,2000,10,3,7,0,0,0.3,0.7,0.0,0.0,0.7,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,YES,0811206219925b173d1b95192d2fbc304065e2820c7569795037c92f309c3c20_rev,0811206219925b173d1b95192d2fbc304065e2820c7569795037c92f309c3c20,rev,0.7,0.9,2000,10,7,3,0,0,0.7,0.3,0.0,0.0,0.7,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,YES,0cbd6442b4a9fe71a109530922d90f3eee6b0304de0ba797a9caa8a9acd3555b_fwd,0cbd6442b4a9fe71a109530922d90f3eee6b0304de0ba797a9caa8a9acd3555b,fwd,0.7,0.9,2000,10,5,5,0,0,0.5,0.5,0.0,0.0,0.5,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,YES,34c38e7b7561a5340a44ca64db85fdf9743a59558887ab6ac3646622e28b2420_rev,34c38e7b7561a5340a44ca64db85fdf9743a59558887ab6ac3646622e28b2420,rev,0.7,0.9,2000,10,10,0,0,0,1.0,0.0,0.0,0.0,1.0,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,YES,4bc61ca9d2239c1f45e770971e94dae754d6fdb3b024316d75bc6eeae4d1e4df_rev,4bc61ca9d2239c1f45e770971e94dae754d6fdb3b024316d75bc6eeae4d1e4df,rev,0.7,0.9,2000,10,5,5,0,0,0.5,0.5,0.0,0.0,0.5,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,YES,4ebbe64179041d993a753ef804ab7336726e157c45a08465251ac20e21b0d15b_rev,4ebbe64179041d993a753ef804ab7336726e157c45a08465251ac20e21b0d15b,rev,0.7,0.9,2000,10,10,0,0,0,1.0,0.0,0.0,0.0,1.0,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,YES,a5a78b21ae491abd80b45f2bdd3cc6eb22e515b61c29e4c3b4728f5083e9d5a2_rev,a5a78b21ae491abd80b45f2bdd3cc6eb22e515b61c29e4c3b4728f5083e9d5a2,rev,0.7,0.9,2000,10,3,7,0,0,0.3,0.7,0.0,0.0,0.3,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,YES,af5a320ae892d6a134f22fae6da3706ae0ee9b927cb48c9c211d7b20dbf0d9bf_rev,af5a320ae892d6a134f22fae6da3706ae0ee9b927cb48c9c211d7b20dbf0d9bf,rev,0.7,0.9,2000,10,0,8,2,0,0.0,0.8,0.2,0.0,0.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,YES,cae0195564f2385b9ae8d1a00de07c9d7a1709bb056a3d615af9c6802eb0d2ef_rev,cae0195564f2385b9ae8d1a00de07c9d7a1709bb056a3d615af9c6802eb0d2ef,rev,0.7,0.9,2000,10,9,1,0,0,0.9,0.1,0.0,0.0,0.9,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,YES,cfbb90d6235a897bb075a7c9735cf628412f6b98a5d893582fefe74b40ab41ac_fwd,cfbb90d6235a897bb075a7c9735cf628412f6b98a5d893582fefe74b40ab41ac,fwd,0.7,0.9,2000,10,4,6,0,0,0.4,0.6,0.0,0.0,0.4,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,YES,d5710f4b33027d2569327495c7ca290e198d64b3d513b230c5ce3652c3e48ccb_fwd,d5710f4b33027d2569327495c7ca290e198d64b3d513b230c5ce3652c3e48ccb,fwd,0.7,0.9,2000,10,6,4,0,0,0.6,0.4,0.0,0.0,0.6,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,YES,f9f5ba8c801a093cc6e0d1796ff5f550c4e67af7d481088d8dc9494697bf71d1_fwd,f9f5ba8c801a093cc6e0d1796ff5f550c4e67af7d481088d8dc9494697bf71d1,fwd,0.7,0.9,2000,10,9,1,0,0,0.9,0.1,0.0,0.0,0.9,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,lt,NO,0c6f046cda49a1714b4600f6a75f9ac5d22c62719b4145062c6d8a3796a251bf_rev,0c6f046cda49a1714b4600f6a75f9ac5d22c62719b4145062c6d8a3796a251bf,rev,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,lt,NO,c89a4a87c87979c6de3d7e6d347ed2f758ea5ea916bdff7e11d186d7446e5008_rev,c89a4a87c87979c6de3d7e6d347ed2f758ea5ea916bdff7e11d186d7446e5008,rev,0.7,0.9,2000,10,1,9,0,0,0.1,0.9,0.0,0.0,0.9,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,lt,NO,d1eda194fcb40bc94b26b89db36d05393b262a2dc06d0391f155d288bf79d9ee_rev,d1eda194fcb40bc94b26b89db36d05393b262a2dc06d0391f155d288bf79d9ee,rev,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,lt,NO,ee340f6362d7da386a2db9fda08bff305eb0413193659dfe68a9d22780e296fa_rev,ee340f6362d7da386a2db9fda08bff305eb0413193659dfe68a9d22780e296fa,rev,0.7,0.9,2000,10,1,9,0,0,0.1,0.9,0.0,0.0,0.9,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,lt,YES,0c6f046cda49a1714b4600f6a75f9ac5d22c62719b4145062c6d8a3796a251bf_fwd,0c6f046cda49a1714b4600f6a75f9ac5d22c62719b4145062c6d8a3796a251bf,fwd,0.7,0.9,2000,10,10,0,0,0,1.0,0.0,0.0,0.0,1.0,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,lt,YES,c89a4a87c87979c6de3d7e6d347ed2f758ea5ea916bdff7e11d186d7446e5008_fwd,c89a4a87c87979c6de3d7e6d347ed2f758ea5ea916bdff7e11d186d7446e5008,fwd,0.7,0.9,2000,10,8,1,1,0,0.8,0.1,0.1,0.0,0.8,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,lt,YES,d1eda194fcb40bc94b26b89db36d05393b262a2dc06d0391f155d288bf79d9ee_fwd,d1eda194fcb40bc94b26b89db36d05393b262a2dc06d0391f155d288bf79d9ee,fwd,0.7,0.9,2000,10,10,0,0,0,1.0,0.0,0.0,0.0,1.0,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,lt,YES,ee340f6362d7da386a2db9fda08bff305eb0413193659dfe68a9d22780e296fa_fwd,ee340f6362d7da386a2db9fda08bff305eb0413193659dfe68a9d22780e296fa,fwd,0.7,0.9,2000,10,6,4,0,0,0.6,0.4,0.0,0.0,0.6,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,027d7a12c58957181687de2ca9bf6c60d4ff00cc38ec88b4302b26aed43f54f1_fwd,027d7a12c58957181687de2ca9bf6c60d4ff00cc38ec88b4302b26aed43f54f1,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,04adb31256609a6d7d78d24a0adfa9f84f18f2999e4bc7eb3f00ea2230695740_fwd,04adb31256609a6d7d78d24a0adfa9f84f18f2999e4bc7eb3f00ea2230695740,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,06ed121356f65139a88df337b6a27576193e6702b813931e9b9ec1ea310f2451_fwd,06ed121356f65139a88df337b6a27576193e6702b813931e9b9ec1ea310f2451,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,0eb3de64c7ceeca044d0e250c74bc4ea2d4eee9869fb4e884d51c095cd0a696d_fwd,0eb3de64c7ceeca044d0e250c74bc4ea2d4eee9869fb4e884d51c095cd0a696d,fwd,0.7,0.9,2000,10,6,3,1,0,0.6,0.3,0.1,0.0,0.3,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,0ebabee1b96358ace4e547c5ac7133f4cb0eef02023e2e859b80b0697b39edb8_fwd,0ebabee1b96358ace4e547c5ac7133f4cb0eef02023e2e859b80b0697b39edb8,fwd,0.7,0.9,2000,10,10,0,0,0,1.0,0.0,0.0,0.0,0.0,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,0feb993a6a102022853f99b6328a671cbfce9fba1d9bc1797588273b8c60e35c_fwd,0feb993a6a102022853f99b6328a671cbfce9fba1d9bc1797588273b8c60e35c,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,100f1de5a6a21ab2c3b270c4f1b3557536295333769fd0ebfa0051b1371b2798_fwd,100f1de5a6a21ab2c3b270c4f1b3557536295333769fd0ebfa0051b1371b2798,fwd,0.7,0.9,2000,10,2,8,0,0,0.2,0.8,0.0,0.0,0.8,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,1065384017af898a4fcd23c81726eee0520c355ea59ac04adf9f8e2d4dbae50c_fwd,1065384017af898a4fcd23c81726eee0520c355ea59ac04adf9f8e2d4dbae50c,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,1588f6d9296597ce8bbb2110dcf89fa74b275f5154442bbf10367ea752cc3890_rev,1588f6d9296597ce8bbb2110dcf89fa74b275f5154442bbf10367ea752cc3890,rev,0.7,0.9,2000,10,9,1,0,0,0.9,0.1,0.0,0.0,0.1,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,1cec3b5fca80017a7f45ef836eeef96ffbc7deb2bbeccd9842b6baf0ac5de8c9_fwd,1cec3b5fca80017a7f45ef836eeef96ffbc7deb2bbeccd9842b6baf0ac5de8c9,fwd,0.7,0.9,2000,10,1,9,0,0,0.1,0.9,0.0,0.0,0.9,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,2bd73c0933baefef50050a22cd0bc4f782cb960997174ee888e14b7ac72aeeaf_fwd,2bd73c0933baefef50050a22cd0bc4f782cb960997174ee888e14b7ac72aeeaf,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,2d5de6b94fac8e35188a642a9ac6b8e5ed5c89fbc39a510b5b841c8238779dc9_fwd,2d5de6b94fac8e35188a642a9ac6b8e5ed5c89fbc39a510b5b841c8238779dc9,fwd,0.7,0.9,2000,10,6,4,0,0,0.6,0.4,0.0,0.0,0.4,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,2e00523c16b1bd65644e72e4428c68084272dd094a496ba7eab49e65fb5b709b_rev,2e00523c16b1bd65644e72e4428c68084272dd094a496ba7eab49e65fb5b709b,rev,0.7,0.9,2000,10,2,8,0,0,0.2,0.8,0.0,0.0,0.8,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,2f18fa62823177c3c73d39a9f1c535dcb54985f643e823ee684a2ffab158d8a2_fwd,2f18fa62823177c3c73d39a9f1c535dcb54985f643e823ee684a2ffab158d8a2,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,3c425aad3170587b15c6e25ff2077447ab4146110ced88c20dd6f74861cc108a_fwd,3c425aad3170587b15c6e25ff2077447ab4146110ced88c20dd6f74861cc108a,fwd,0.7,0.9,2000,10,6,4,0,0,0.6,0.4,0.0,0.0,0.4,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,3fb0e5a709eb024aee6a9b96a3d45464aa69f7bbc130aaa4e7e81cccd22c8a0f_fwd,3fb0e5a709eb024aee6a9b96a3d45464aa69f7bbc130aaa4e7e81cccd22c8a0f,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,411b73793206808fe2170fcae11a3af05551efe0527897c1caf61c563c546482_fwd,411b73793206808fe2170fcae11a3af05551efe0527897c1caf61c563c546482,fwd,0.7,0.9,2000,10,8,2,0,0,0.8,0.2,0.0,0.0,0.2,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,4caeac18a1e08c7275db1a7f0c065fc23f451b9575048ece3b8f038c19a30d26_fwd,4caeac18a1e08c7275db1a7f0c065fc23f451b9575048ece3b8f038c19a30d26,fwd,0.7,0.9,2000,10,2,7,1,0,0.2,0.7,0.1,0.0,0.7,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,4d4e7759f0937251076f84e73a57f452274c1c7518b4cc97236007f2fdba5fe3_fwd,4d4e7759f0937251076f84e73a57f452274c1c7518b4cc97236007f2fdba5fe3,fwd,0.7,0.9,2000,10,7,3,0,0,0.7,0.3,0.0,0.0,0.3,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,4dc73cea78f1382cdb7ce0b8b01123bad846bd21241538a1e9082f740f934232_fwd,4dc73cea78f1382cdb7ce0b8b01123bad846bd21241538a1e9082f740f934232,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,4eafbfb4dd4a2b1ba10da8b9fd86080cd7d679a8953135cd2625183f39b23b77_fwd,4eafbfb4dd4a2b1ba10da8b9fd86080cd7d679a8953135cd2625183f39b23b77,fwd,0.7,0.9,2000,10,3,7,0,0,0.3,0.7,0.0,0.0,0.7,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,4f60091b642016e8fd38ed5fc36be3a373ffaae8d9bd3aec1e7f1889a5919cf0_fwd,4f60091b642016e8fd38ed5fc36be3a373ffaae8d9bd3aec1e7f1889a5919cf0,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,4fb5cf3ea701ad4433cb1fd8b3241a0b6e4756a5573261ecf85e7d79f2d61346_rev,4fb5cf3ea701ad4433cb1fd8b3241a0b6e4756a5573261ecf85e7d79f2d61346,rev,0.7,0.9,2000,10,5,5,0,0,0.5,0.5,0.0,0.0,0.5,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,569b05e330517841b513c7d24be8b4787c67b3b4a521639caae644f10a4f87a2_fwd,569b05e330517841b513c7d24be8b4787c67b3b4a521639caae644f10a4f87a2,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,56f06961b13ac806eb50311a5417ccc423be1058e1c781c5a4c407ccd9b84783_fwd,56f06961b13ac806eb50311a5417ccc423be1058e1c781c5a4c407ccd9b84783,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,575d1eefce847af6d49450347dd92fb4e255c1f7e249c2045b14a828efe536e4_fwd,575d1eefce847af6d49450347dd92fb4e255c1f7e249c2045b14a828efe536e4,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,5ed454c7a78d9d419b696ca55a10b9b5597c898234f1fc438f8b7fd36689877f_fwd,5ed454c7a78d9d419b696ca55a10b9b5597c898234f1fc438f8b7fd36689877f,fwd,0.7,0.9,2000,10,10,0,0,0,1.0,0.0,0.0,0.0,0.0,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,652f4001aa83e015ee6411996541ba79900799dd4c462bc93113e95f4f028009_fwd,652f4001aa83e015ee6411996541ba79900799dd4c462bc93113e95f4f028009,fwd,0.7,0.9,2000,10,1,9,0,0,0.1,0.9,0.0,0.0,0.9,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,67121b2aa835ea9d18943db70d932fa088c41b9c66a15c89dac3a63dc204ed44_fwd,67121b2aa835ea9d18943db70d932fa088c41b9c66a15c89dac3a63dc204ed44,fwd,0.7,0.9,2000,10,3,7,0,0,0.3,0.7,0.0,0.0,0.7,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,6b93bc67305f2ba37845739f6db7d2316e5b0ad42687e3f9ffec732d657d6a10_fwd,6b93bc67305f2ba37845739f6db7d2316e5b0ad42687e3f9ffec732d657d6a10,fwd,0.7,0.9,2000,10,7,3,0,0,0.7,0.3,0.0,0.0,0.3,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,6e6a27ca3a4338252033cde86caf2bf308045069377946d9b2ba6c0ff7c83e9a_fwd,6e6a27ca3a4338252033cde86caf2bf308045069377946d9b2ba6c0ff7c83e9a,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,7026e9c07c48302ffdac4ccc7edaf7df67d09d40530d2ad4911961199e8c1659_fwd,7026e9c07c48302ffdac4ccc7edaf7df67d09d40530d2ad4911961199e8c1659,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,727430ff1cc7aa38ebbd6de2bd29fedfd8798e17c6965caf0b40efb9438369bf_fwd,727430ff1cc7aa38ebbd6de2bd29fedfd8798e17c6965caf0b40efb9438369bf,fwd,0.7,0.9,2000,10,5,5,0,0,0.5,0.5,0.0,0.0,0.5,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,7bad1a430541dc94a3139a9d43b06f97412bf2b8ff9ca530c19ff396c512be5b_fwd,7bad1a430541dc94a3139a9d43b06f97412bf2b8ff9ca530c19ff396c512be5b,fwd,0.7,0.9,2000,10,10,0,0,0,1.0,0.0,0.0,0.0,0.0,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,800478494f402e6d31d7b1fb25d80995768095e150847c7f4ad66d3050de94cc_fwd,800478494f402e6d31d7b1fb25d80995768095e150847c7f4ad66d3050de94cc,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,89e758ecb9769d577e5cfd137cff1794524d5c602a667f8c8e235e28a9d49b2a_fwd,89e758ecb9769d577e5cfd137cff1794524d5c602a667f8c8e235e28a9d49b2a,fwd,0.7,0.9,2000,10,10,0,0,0,1.0,0.0,0.0,0.0,0.0,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,8abc4cee706baa2d505c47db9aa37d1c7134bd206052d8620480e6cb3ebc4642_fwd,8abc4cee706baa2d505c47db9aa37d1c7134bd206052d8620480e6cb3ebc4642,fwd,0.7,0.9,2000,10,5,5,0,0,0.5,0.5,0.0,0.0,0.5,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,8e87ae13f0c406814aac4ff1db15a67028551ea979c68dba1cdf018d04c73bad_fwd,8e87ae13f0c406814aac4ff1db15a67028551ea979c68dba1cdf018d04c73bad,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,90d6006684ec986a8a0675d57f5773e906c7f6c4d90c5fd5c083395a8bd50851_fwd,90d6006684ec986a8a0675d57f5773e906c7f6c4d90c5fd5c083395a8bd50851,fwd,0.7,0.9,2000,10,10,0,0,0,1.0,0.0,0.0,0.0,0.0,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,958bf16312d22cac1e2a9c0e051c93574f6eec1058e0471925002e9b1834aac4_fwd,958bf16312d22cac1e2a9c0e051c93574f6eec1058e0471925002e9b1834aac4,fwd,0.7,0.9,2000,10,9,1,0,0,0.9,0.1,0.0,0.0,0.1,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,97c6c66f049754963947005ddfd29eb9ee19679223c801b653bf25fbda3eaf91_fwd,97c6c66f049754963947005ddfd29eb9ee19679223c801b653bf25fbda3eaf91,fwd,0.7,0.9,2000,10,4,6,0,0,0.4,0.6,0.0,0.0,0.6,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,99862eb0e46342acf13bf56b23bd7dcc8838e3f74d0aa3cd1899372afea8c93b_fwd,99862eb0e46342acf13bf56b23bd7dcc8838e3f74d0aa3cd1899372afea8c93b,fwd,0.7,0.9,2000,10,9,1,0,0,0.9,0.1,0.0,0.0,0.1,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,9d403161496bf08a5d3182c4fa57db13e8d017fdc8f0c8ddab6a69567db85967_fwd,9d403161496bf08a5d3182c4fa57db13e8d017fdc8f0c8ddab6a69567db85967,fwd,0.7,0.9,2000,10,9,0,1,0,0.9,0.0,0.1,0.0,0.0,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,9e1590caadca93008205c563d59dda162a15171e9d22181026c0c30a38e75b16_fwd,9e1590caadca93008205c563d59dda162a15171e9d22181026c0c30a38e75b16,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,9f5fe26460badf865257f539bab4b41e5a38cb438814ad582a35f0300b38d507_fwd,9f5fe26460badf865257f539bab4b41e5a38cb438814ad582a35f0300b38d507,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,a570b05486cf110dc2a2dc6387a5efb62772936c21e76272b9fe9219f7fd26b5_fwd,a570b05486cf110dc2a2dc6387a5efb62772936c21e76272b9fe9219f7fd26b5,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,aef31706f863e8806133fc3206dcb51f4344894c8046977f4d51654645538169_fwd,aef31706f863e8806133fc3206dcb51f4344894c8046977f4d51654645538169,fwd,0.7,0.9,2000,10,7,3,0,0,0.7,0.3,0.0,0.0,0.3,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,af37f88f8dfb7155370d521b0fbb2a80b02a1eb20d3108b81bb99893c7ea44ec_fwd,af37f88f8dfb7155370d521b0fbb2a80b02a1eb20d3108b81bb99893c7ea44ec,fwd,0.7,0.9,2000,10,4,6,0,0,0.4,0.6,0.0,0.0,0.6,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,b0b502294ca16b9881779f6e9b2cb2c264ea7687e658727e9d9907298049a6d6_fwd,b0b502294ca16b9881779f6e9b2cb2c264ea7687e658727e9d9907298049a6d6,fwd,0.7,0.9,2000,10,10,0,0,0,1.0,0.0,0.0,0.0,0.0,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,NO,b0d8da513fb3579a0c33582678b3268541596190ed6cd1c217d98281d4534259_fwd,b0d8da513fb3579a0c33582678b3268541596190ed6cd1c217d98281d4534259,fwd,0.7,0.9,2000,10,10,0,0,0,1.0,0.0,0.0,0.0,0.0,YES
