model_id,prop_id,comparison,pair_id,x_name,y_name,x_value,y_value,temperature,top_p,max_new_tokens,fwd_gold,rev_gold,fwd_n,rev_n,fwd_p_yes,rev_p_yes,fwd_p_no,rev_p_no,fwd_p_correct,rev_p_correct,fwd_majority_label,rev_majority_label,same_yes_no_majority,yes_yes_majority,no_no_majority,abs_p_yes_gap,abs_p_correct_gap
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,06ed121356f65139a88df337b6a27576193e6702b813931e9b9ec1ea310f2451,Ken Kesey's Sometimes a Great Notion,Stokely Carmichael's Black Power: The Politics of Liberation,23583,24766,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,0eb3de64c7ceeca044d0e250c74bc4ea2d4eee9869fb4e884d51c095cd0a696d,"इदरीस शाह, ادريس شاه's World Tales",The Baroness Rendell of Babergh's Talking to Strange Men,29212,31916,0.7,0.9,2000,NO,YES,10,10,0.6,0.2,0.3,0.8,0.3,0.2,YES,NO,False,False,False,0.39999999999999997,0.09999999999999998
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,0ebabee1b96358ace4e547c5ac7133f4cb0eef02023e2e859b80b0697b39edb8,James Patterson's The Dangerous Days of Daniel Xtraterrestrial,Vivek Chibber's Postcolonial Theory and the Specter of Capital,39648,41343,0.7,0.9,2000,NO,YES,10,10,1.0,0.0,0.0,1.0,0.0,0.0,YES,NO,False,False,False,1.0,0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,0feb993a6a102022853f99b6328a671cbfce9fba1d9bc1797588273b8c60e35c,William Faulkner's The Reivers,Joseph Wambaugh's The Blue Knight,22799,26355,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,100f1de5a6a21ab2c3b270c4f1b3557536295333769fd0ebfa0051b1371b2798,Michael Crichton's The Terminal Man,Larry Niven's Footfall,26399,31177,0.7,0.9,2000,NO,YES,10,10,0.2,0.0,0.8,1.0,0.8,0.0,NO,NO,True,False,True,0.2,0.8
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,1065384017af898a4fcd23c81726eee0520c355ea59ac04adf9f8e2d4dbae50c,Joseph Wambaugh's The Blue Knight,Paul Davies's God and the New Physics,26355,30969,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,1588f6d9296597ce8bbb2110dcf89fa74b275f5154442bbf10367ea752cc3890,Simon Scarrow's Britannia,Eric Flint's Torch of Freedom,42325.0,40118.0,0.7,0.9,2000,YES,NO,10,10,0.5,0.9,0.5,0.1,0.5,0.1,YES,YES,True,True,False,0.4,0.4
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,1cec3b5fca80017a7f45ef836eeef96ffbc7deb2bbeccd9842b6baf0ac5de8c9,Gordon Rupert Dickson's The Dragon and the George,Pat Cadigan's Mindplayers,27885,31957,0.7,0.9,2000,NO,YES,10,10,0.1,1.0,0.9,0.0,0.9,1.0,NO,YES,False,False,False,0.9,0.09999999999999998
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,2bd73c0933baefef50050a22cd0bc4f782cb960997174ee888e14b7ac72aeeaf,Stokely Carmichael's Black Power: The Politics of Liberation,Michael Crichton's The Terminal Man,24766,26399,0.7,0.9,2000,NO,YES,10,10,0.0,0.1,1.0,0.9,1.0,0.1,NO,NO,True,False,True,0.1,0.9
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,2d5de6b94fac8e35188a642a9ac6b8e5ed5c89fbc39a510b5b841c8238779dc9,"इदरीस शाह, ادريس شاه's World Tales",David Hamilton's Twenty Five Years of an Artist,29212,34234,0.7,0.9,2000,NO,YES,10,10,0.6,0.3,0.4,0.7,0.4,0.3,YES,NO,False,False,False,0.3,0.10000000000000003
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,2e00523c16b1bd65644e72e4428c68084272dd094a496ba7eab49e65fb5b709b,Matthew Reilly's The Great Zoo of China,T. C. Boyle's Drop City,41951.0,37674.0,0.7,0.9,2000,YES,NO,10,10,1.0,0.2,0.0,0.8,1.0,0.8,YES,NO,False,False,False,0.8,0.19999999999999996
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,2f18fa62823177c3c73d39a9f1c535dcb54985f643e823ee684a2ffab158d8a2,Michael Crichton's The Terminal Man,Pat Cadigan's Mindplayers,26399,31957,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,3c425aad3170587b15c6e25ff2077447ab4146110ced88c20dd6f74861cc108a,Mary Stewart's Nine Coaches Waiting,Michael Crichton's The Terminal Man,21549,26399,0.7,0.9,2000,NO,YES,10,10,0.6,0.1,0.4,0.9,0.4,0.1,YES,NO,False,False,False,0.5,0.30000000000000004
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,3fb0e5a709eb024aee6a9b96a3d45464aa69f7bbc130aaa4e7e81cccd22c8a0f,Michael Crichton's The Terminal Man,"इदरीस शाह, ادريس شاه's World Tales",26399,29212,0.7,0.9,2000,NO,YES,10,10,0.0,0.9,1.0,0.1,1.0,0.9,NO,YES,False,False,False,0.9,0.09999999999999998
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,411b73793206808fe2170fcae11a3af05551efe0527897c1caf61c563c546482,"इदरीस शाह, ادريس شاه's World Tales",Simon Armitage's Book of Matches,29212,34251,0.7,0.9,2000,NO,YES,10,10,0.8,0.4,0.2,0.6,0.2,0.4,YES,NO,False,False,False,0.4,0.2
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,4caeac18a1e08c7275db1a7f0c065fc23f451b9575048ece3b8f038c19a30d26,Mary Stewart's Nine Coaches Waiting,The Baroness Rendell of Babergh's A Guilty Thing Surprised,21549,25641,0.7,0.9,2000,NO,YES,10,10,0.2,0.9,0.7,0.1,0.7,0.9,NO,YES,False,False,False,0.7,0.20000000000000007
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,4d4e7759f0937251076f84e73a57f452274c1c7518b4cc97236007f2fdba5fe3,"इदरीस शाह, ادريس شاه's World Tales",Don DeLillo's Mao II,29212,33407,0.7,0.9,2000,NO,YES,10,10,0.7,0.7,0.3,0.2,0.3,0.7,YES,YES,True,True,False,0.0,0.39999999999999997
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,4dc73cea78f1382cdb7ce0b8b01123bad846bd21241538a1e9082f740f934232,J. R. R. Tolkien's Tree and Leaf,Tino Insana's Blues Brothers: Private,23523,29386,0.7,0.9,2000,NO,YES,10,10,0.0,0.9,1.0,0.1,1.0,0.9,NO,YES,False,False,False,0.9,0.09999999999999998
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,4eafbfb4dd4a2b1ba10da8b9fd86080cd7d679a8953135cd2625183f39b23b77,"इदरीस शाह, ادريس شاه's World Tales",Kathy Tyers's Tales from Jabba's Palace,29212,35032,0.7,0.9,2000,NO,YES,10,10,0.3,0.4,0.7,0.6,0.7,0.4,NO,NO,True,False,True,0.10000000000000003,0.29999999999999993
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,4f60091b642016e8fd38ed5fc36be3a373ffaae8d9bd3aec1e7f1889a5919cf0,Michael Crichton's The Terminal Man,Bernard Cornwell's Sharpe's Regiment,26399,31430,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,4fb5cf3ea701ad4433cb1fd8b3241a0b6e4756a5573261ecf85e7d79f2d61346,Joanne Harris's The Lollipop Shoes,Peter S. Beagle's Tamsin,39202.0,36432.0,0.7,0.9,2000,YES,NO,10,10,1.0,0.5,0.0,0.5,1.0,0.5,YES,NO,False,False,False,0.5,0.5
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,569b05e330517841b513c7d24be8b4787c67b3b4a521639caae644f10a4f87a2,William Faulkner's The Reivers,Michael Crichton's The Terminal Man,22799,26399,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,56f06961b13ac806eb50311a5417ccc423be1058e1c781c5a4c407ccd9b84783,Ken Kesey's Sometimes a Great Notion,Joseph Wambaugh's The Blue Knight,23583,26355,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,575d1eefce847af6d49450347dd92fb4e255c1f7e249c2045b14a828efe536e4,Katherine Kurtz's Camber of Culdi,Salman Rushdie's Shame,27921,30565,0.7,0.9,2000,NO,YES,10,10,0.0,0.8,1.0,0.2,1.0,0.8,NO,YES,False,False,False,0.8,0.19999999999999996
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,5ed454c7a78d9d419b696ca55a10b9b5597c898234f1fc438f8b7fd36689877f,T. C. Boyle's Riven Rock,D.J. MacHale's The Merchant of Death,35825,37498,0.7,0.9,2000,NO,YES,10,10,1.0,1.0,0.0,0.0,0.0,1.0,YES,YES,True,True,False,0.0,1.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,652f4001aa83e015ee6411996541ba79900799dd4c462bc93113e95f4f028009,Martin Caidin's The God Machine,Michael Crichton's The Terminal Man,24924,26399,0.7,0.9,2000,NO,YES,10,10,0.1,0.3,0.9,0.7,0.9,0.3,NO,NO,True,False,True,0.19999999999999998,0.6000000000000001
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,67121b2aa835ea9d18943db70d932fa088c41b9c66a15c89dac3a63dc204ed44,Gordon Rupert Dickson's The Dragon and the George,Danielle Steel's Full Circle,27885,30801,0.7,0.9,2000,NO,YES,10,10,0.3,1.0,0.7,0.0,0.7,1.0,NO,YES,False,False,False,0.7,0.30000000000000004
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,6b93bc67305f2ba37845739f6db7d2316e5b0ad42687e3f9ffec732d657d6a10,"इदरीस शाह, ادريس شاه's World Tales",William Steig's Shrek!,29212,33161,0.7,0.9,2000,NO,YES,10,10,0.7,0.4,0.3,0.6,0.3,0.4,YES,NO,False,False,False,0.29999999999999993,0.10000000000000003
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,6e6a27ca3a4338252033cde86caf2bf308045069377946d9b2ba6c0ff7c83e9a,Stokely Carmichael's Black Power: The Politics of Liberation,Tino Insana's Blues Brothers: Private,24766,29386,0.7,0.9,2000,NO,YES,10,10,0.0,0.9,1.0,0.0,1.0,0.9,NO,YES,False,False,False,0.9,0.09999999999999998
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,7026e9c07c48302ffdac4ccc7edaf7df67d09d40530d2ad4911961199e8c1659,Stokely Carmichael's Black Power: The Politics of Liberation,Judy Blume's The Judy Blume Diary,24766,29811,0.7,0.9,2000,NO,YES,10,10,0.0,0.3,1.0,0.6,1.0,0.3,NO,NO,True,False,True,0.3,0.7
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,727430ff1cc7aa38ebbd6de2bd29fedfd8798e17c6965caf0b40efb9438369bf,"इदरीस शाह, ادريس شاه's World Tales",Dave Wolverton's Tales from Jabba's Palace,29212,35032,0.7,0.9,2000,NO,YES,10,10,0.5,0.5,0.5,0.5,0.5,0.5,NO,YES,False,False,False,0.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,7bad1a430541dc94a3139a9d43b06f97412bf2b8ff9ca530c19ff396c512be5b,William Styron's Set This House on Fire,Anya Seton's Green Darkness,22068,26602,0.7,0.9,2000,NO,YES,10,10,1.0,0.0,0.0,1.0,0.0,0.0,YES,NO,False,False,False,1.0,0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,800478494f402e6d31d7b1fb25d80995768095e150847c7f4ad66d3050de94cc,Evelyn Waugh's The Ordeal of Gilbert Pinfold,Jack Kerouac's Big Sur,21018,22898,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,89e758ecb9769d577e5cfd137cff1794524d5c602a667f8c8e235e28a9d49b2a,Stokely Carmichael's Black Power: The Politics of Liberation,Anya Seton's Green Darkness,24766,26602,0.7,0.9,2000,NO,YES,10,10,1.0,0.0,0.0,1.0,0.0,0.0,YES,NO,False,False,False,1.0,0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,8abc4cee706baa2d505c47db9aa37d1c7134bd206052d8620480e6cb3ebc4642,Katherine Kurtz's Camber of Culdi,Judy Blume's The Judy Blume Diary,27921,29811,0.7,0.9,2000,NO,YES,10,10,0.5,0.1,0.5,0.8,0.5,0.1,NO,NO,True,False,True,0.4,0.4
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,8e87ae13f0c406814aac4ff1db15a67028551ea979c68dba1cdf018d04c73bad,Katherine Kurtz's Camber of Culdi,Fred Dinenage's Our Story,27921,32757,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,90d6006684ec986a8a0675d57f5773e906c7f6c4d90c5fd5c083395a8bd50851,"इदरीस शाह, ادريس شاه's World Tales",Minette Walters's The Ice House,29212,33779,0.7,0.9,2000,NO,YES,10,10,1.0,0.0,0.0,1.0,0.0,0.0,YES,NO,False,False,False,1.0,0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,958bf16312d22cac1e2a9c0e051c93574f6eec1058e0471925002e9b1834aac4,"इदरीस शाह, ادريس شاه's World Tales",Walker Percy's The Thanatos Syndrome,29212,31866,0.7,0.9,2000,NO,YES,10,10,0.9,0.1,0.1,0.9,0.1,0.1,YES,NO,False,False,False,0.8,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,97c6c66f049754963947005ddfd29eb9ee19679223c801b653bf25fbda3eaf91,Stokely Carmichael's Black Power: The Politics of Liberation,"इदरीस शाह, ادريس شاه's World Tales",24766,29212,0.7,0.9,2000,NO,YES,10,10,0.4,0.4,0.6,0.6,0.6,0.4,NO,NO,True,False,True,0.0,0.19999999999999996
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,99862eb0e46342acf13bf56b23bd7dcc8838e3f74d0aa3cd1899372afea8c93b,"इदरीस शाह, ادريس شاه's World Tales",Arkady and Boris Strugatsky's Волны гасят ветер,29212,31859,0.7,0.9,2000,NO,YES,10,10,0.9,0.1,0.1,0.9,0.1,0.1,YES,NO,False,False,False,0.8,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,9d403161496bf08a5d3182c4fa57db13e8d017fdc8f0c8ddab6a69567db85967,J. R. R. Tolkien's Tree and Leaf,The Baroness Rendell of Babergh's A Guilty Thing Surprised,23523,25641,0.7,0.9,2000,NO,YES,10,10,0.9,0.6,0.0,0.4,0.0,0.6,YES,YES,True,True,False,0.30000000000000004,0.6
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,9e1590caadca93008205c563d59dda162a15171e9d22181026c0c30a38e75b16,Joseph Wambaugh's The Blue Knight,Russell Miller's Bare-faced Messiah,26355,32074,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,9f5fe26460badf865257f539bab4b41e5a38cb438814ad582a35f0300b38d507,Michael Crichton's The Terminal Man,Salman Rushdie's Shame,26399,30565,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,a570b05486cf110dc2a2dc6387a5efb62772936c21e76272b9fe9219f7fd26b5,William Faulkner's The Reivers,Stokely Carmichael's Black Power: The Politics of Liberation,22799,24766,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,aef31706f863e8806133fc3206dcb51f4344894c8046977f4d51654645538169,Michael Crichton's The Terminal Man,Arkady and Boris Strugatsky's The Time Wanderers,26399,31859,0.7,0.9,2000,NO,YES,10,10,0.7,0.0,0.3,1.0,0.3,0.0,YES,NO,False,False,False,0.7,0.3
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,af37f88f8dfb7155370d521b0fbb2a80b02a1eb20d3108b81bb99893c7ea44ec,Gordon Rupert Dickson's The Dragon and the George,Fred Dinenage's Our Story,27885,32757,0.7,0.9,2000,NO,YES,10,10,0.4,1.0,0.6,0.0,0.6,1.0,NO,YES,False,False,False,0.6,0.4
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,b0b502294ca16b9881779f6e9b2cb2c264ea7687e658727e9d9907298049a6d6,Tino Insana's Blues Brothers: Private,Larry Niven's Footfall,29386,31177,0.7,0.9,2000,NO,YES,10,10,1.0,0.0,0.0,1.0,0.0,0.0,YES,NO,False,False,False,1.0,0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,b0d8da513fb3579a0c33582678b3268541596190ed6cd1c217d98281d4534259,Victor Leo Marchetti Jr's The CIA and the Cult of Intelligence,The Baroness Rendell of Babergh's Talking to Strange Men,27190,31916,0.7,0.9,2000,NO,YES,10,10,1.0,0.5,0.0,0.5,0.0,0.5,YES,YES,True,True,False,0.5,0.5
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,b1499dc508c8d01a0fbef648aeaa086781b0763dcaacafed60daf38d1edb774e,Evelyn Waugh's The Ordeal of Gilbert Pinfold,Ken Kesey's Sometimes a Great Notion,21018,23583,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,b23c36ebd32ee0750308e8f2ae5164c5568bf59d71c2b57d89ab020f8fc4fd56,Michael Crichton's The Terminal Man,Tino Insana's Blues Brothers: Private,26399,29386,0.7,0.9,2000,NO,YES,10,10,0.0,0.9,1.0,0.1,1.0,0.9,NO,YES,False,False,False,0.9,0.09999999999999998
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,b2d89681d02982e798cc6a93ea411a2ef99d2506e43bb8a3e4aa976723703edf,Joseph Wambaugh's The Blue Knight,Salman Rushdie's Shame,26355,30565,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,b8dc7ffac0df23c0d1b45a3c2edf2cd61e15f6f47a3a7dd2b36ad566190a9f5c,Gordon Rupert Dickson's The Dragon and the George,Dan Simmons's Song of Kali,27885,31350,0.7,0.9,2000,NO,YES,10,10,0.1,1.0,0.9,0.0,0.9,1.0,NO,YES,False,False,False,0.9,0.09999999999999998
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,c09bd948d756772ca184155720841544554794ce56d0925c793dc54379a50921,Mary Stewart's Nine Coaches Waiting,Victor Leo Marchetti Jr's The CIA and the Cult of Intelligence,21549,27190,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,cd13fa5c42a66683a21783eec38723246b3625f21199adb47ac4a350a2f32618,Tino Insana's Blues Brothers: Private,Arkady and Boris Strugatsky's Волны гасят ветер,29386,31859,0.7,0.9,2000,NO,YES,10,10,0.9,0.0,0.1,1.0,0.1,0.0,YES,NO,False,False,False,0.9,0.1
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,cdd1c3139d944883410c4e765bcbae054b343c1334a389ecb74104ef6440c761,Joseph Wambaugh's The Blue Knight,Dan Simmons's Song of Kali,26355,31350,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
